decision,time,solved,pendingOrders,stationsWithCap,podsInModel,xps,children,fastPath,units,sumUs,objective,solveSec,partialOrders,partialOnlyNewTrips,odCount,odFired,sunkOrdersStar,sunkItemsStar,sunkUnitsFinal,newTripsFinal,solve1Sec,solve2Sec,icWhole,icPackOcc,icPackBudget,icProcUnits,icEpSum,icShortfall,icSgOpen,icGateForegone
119,955.955555555815,1,100,2,89,3,1,0,2,4,-30.0422535211268,0.0029992,1,0,0,0,0,0,2,0,0,0.0029992,0,24,-1,2,0,0,0,0
120,959.022222222484,1,100,1,87,2,1,4,6,0,-329.907692307692,0.18908,0,0,0,0,0,0,0,1,0,0.18908,0,25,-1,0,0,0,1,0
121,966.000000000267,1,100,1,87,2,0,1,2,0,-100.05753968254,0.0039739,0,0,0,0,0,0,2,0,0,0.0039739,0,25,-1,2,0,0,0,0
122,969.066666666936,1,100,1,86,1,0,1,2,0,-64.1111111111111,0.0030027,0,0,0,0,0,0,2,0,0,0.0030027,0,24,-1,0,0,0,0,0
123,996.044444444736,1,100,1,87,2,1,0,2,0,-30.0287769784173,0.0019953,1,0,0,0,0,0,2,0,0,0.0019953,0,23,-1,2,0,0,0,0
124,1002.0000000003,1,100,1,86,2,0,1,4,0,-80.1653005464481,0.1175259,0,0,0,0,0,0,2,1,0,0.1175259,0,24,-1,2,0,0,1,0
125,1006.08888888919,1,100,1,86,2,1,0,1,0,-30.007299270073,0.0019946,1,0,0,0,0,0,1,0,0,0.0019946,0,24,-1,1,0,0,0,0
126,1012.04444444475,1,100,1,86,2,1,0,1,0,-67.0555555555556,0.0020007,0,0,0,0,0,0,1,0,0,0.0020007,0,25,-1,0,0,0,1,0
127,1032.08888888921,1,100,1,86,2,0,1,1,0,-67.0258620689655,0.0020004,0,0,0,0,0,0,1,0,0,0.0020004,0,25,-1,0,0,0,1,0
128,1042.13333333366,1,100,1,86,2,0,1,1,0,-70.0338983050847,0.0020309,0,0,0,0,0,0,1,0,0,0.0020309,0,25,-1,1,0,0,0,0
129,1052.17777777811,1,100,1,86,2,0,1,1,0,-69.0138888888889,0.0020013,0,0,0,0,0,0,1,0,0,0.0020013,0,25,-1,0,0,0,0,0
130,1066.13333333368,1,100,1,88,2,1,0,1,0,-30.0036764705882,0.001969,1,0,0,0,0,0,1,0,0,0.001969,0,25,-1,1,0,0,0,0
131,1072.22222222257,1,100,1,87,2,1,0,2,0,-30.051724137931,0.0020259,1,0,0,0,0,0,2,0,0,0.0020259,0,26,-1,2,0,0,0,0
132,1086.17777777814,1,100,1,87,2,1,0,1,0,-29.0151515151515,0.0020028,1,0,0,0,0,0,1,0,0,0.0020028,0,26,-1,0,0,0,0,0
133,1102.26666666704,1,100,1,86,2,1,0,1,0,-30.0089285714286,0.0020015,1,0,0,0,0,0,1,0,0,0.0020015,0,27,-1,1,0,0,0,0
134,1106.2222222226,1,100,1,85,2,0,0,0,1,0,0.001999,0,0,0,0,0,0,0,0,0,0.001999,0,28,-1,0,0,0,0,0
135,1122.3111111115,1,100,2,87,4,1,0,1,1,-29.0294117647059,0.0030001,1,0,0,0,0,0,1,0,0,0.0030001,0,28,-1,0,0,0,0,0
136,1122.35555555595,1,100,1,84,2,0,0,0,1,0,0.0020002,0,0,0,0,0,0,0,0,0,0.0020002,0,29,-1,0,0,0,0,0
137,1126.26666666706,1,100,1,84,2,0,0,0,2,0,0.0019996,0,0,0,0,0,0,0,0,0,0.0019996,0,29,-1,0,0,0,0,0
138,1132.35555555596,1,100,2,85,4,0,1,4,2,-78.3779448621554,0.083548,0,0,0,0,0,0,2,1,0,0.083548,0,29,-1,2,0,0,1,0
139,1132.4000000004,1,100,1,83,2,0,0,0,2,0,0.0010015,0,0,0,0,0,0,0,0,0,0.0010015,0,29,-1,0,0,0,0,0
140,1136.31111111151,1,100,1,83,2,0,0,0,3,0,0.0009983,0,0,0,0,0,0,0,0,0,0.0009983,0,29,-1,0,0,0,0,0
141,1136.35555555596,1,100,1,83,2,0,0,0,3,0,0.0009995,0,0,0,0,0,0,0,0,0,0.0009995,0,29,-1,0,0,0,0,0
142,1146.35555555597,1,100,1,82,2,0,4,6,0,-263.347222222222,0.2240942,0,0,0,0,0,0,0,1,0,0.2240942,0,29,-1,0,0,0,1,0
143,1152.40000000042,1,100,1,84,2,0,1,2,0,-64.5,0.0040011,0,0,0,0,0,0,2,0,0,0.0040011,0,29,-1,0,0,0,1,0
